full_address,estimate_date,estimate_value,estimate_range,link
"15B Hawtrey Terrace, Johnsonville, Wellington",30/05/2019,$1.05M,$980K - $1.12M,https://www.homes.co.nz/address/wellington/johnsonville/15b-hawtrey-terrace/ZoEjn
"110 Broderick Road, Johnsonville, Wellington",30/09/2014,$1.21M,$1.13M - $1.29M,https://www.homes.co.nz/address/wellington/johnsonville/110-broderick-road/zOlQJ
"55B Cortina Avenue, Johnsonville, Wellington",29/09/2018,$840K,$795K - $890K,https://www.homes.co.nz/address/wellington/johnsonville/55b-cortina-avenue/0rA19
"17 Atua Street, Johnsonville, Wellington",1/01/1970,$900K,$840K - $965K,https://www.homes.co.nz/address/wellington/johnsonville/17-atua-street/15L4w
"25A Prospect Terrace, Johnsonville, Wellington",24/06/2021,$955K,$915K - $980K,https://www.homes.co.nz/address/wellington/johnsonville/25a-prospect-terrace/jDMbz
"28 Bathgate Street, Johnsonville, Wellington",18/02/2008,$1.15M,$1.07M - $1.22M,https://www.homes.co.nz/address/wellington/johnsonville/28-bathgate-street/GkZ08
"7A Hindmarsh Street, Johnsonville, Wellington",1/01/1970,$910K,$845K - $975K,https://www.homes.co.nz/address/wellington/johnsonville/7a-hindmarsh-street/7ELGQ
"107 Ironside Road, Johnsonville, Wellington",15/06/2010,$1.26M,$1.18M - $1.35M,https://www.homes.co.nz/address/wellington/johnsonville/107-ironside-road/E0Or7
"131 Broderick Road, Johnsonville, Wellington",1/12/2017,$965K,$900K - $1.03M,https://www.homes.co.nz/address/wellington/johnsonville/131-broderick-road/ybzkV
"77 Moorefield Road, Johnsonville, Wellington",31/05/2011,$825K,$770K - $885K,https://www.homes.co.nz/address/wellington/johnsonville/77-moorefield-road/o0v2b
"14 Saville Row, Johnsonville, Wellington",11/06/2011,$990K,$920K - $1.06M,https://www.homes.co.nz/address/wellington/johnsonville/14-saville-row/qk1WM
"29 Burgess Road, Johnsonville, Wellington",13/06/2008,$1.15M,$1.07M - $1.23M,https://www.homes.co.nz/address/wellington/johnsonville/29-burgess-road/LDRLq
"56 Haumia Street, Johnsonville, Wellington",13/03/2014,$930K,$865K - $995K,https://www.homes.co.nz/address/wellington/johnsonville/56-haumia-street/NXwLJ
"44 Woodland Road, Johnsonville, Wellington",9/01/2010,$1.01M,$945K - $1.09M,https://www.homes.co.nz/address/wellington/johnsonville/44-woodland-road/jDX1j
"87 Clifford Road, Johnsonville, Wellington",30/10/2001,$760K,$705K - $810K,https://www.homes.co.nz/address/wellington/johnsonville/87-clifford-road/5Evp4
"8 Ironside Road, Johnsonville, Wellington",14/10/2008,$885K,$825K - $950K,https://www.homes.co.nz/address/wellington/johnsonville/8-ironside-road/2ERw7
"31 Chesterton Street, Johnsonville, Wellington",27/02/2011,$1.02M,$950K - $1.09M,https://www.homes.co.nz/address/wellington/johnsonville/31-chesterton-street/nL8OW
"18D Stephen Street, Johnsonville, Wellington",20/02/2010,$1.01M,$940K - $1.08M,https://www.homes.co.nz/address/wellington/johnsonville/18d-stephen-street/jD9KM
"15 Bassett Road, Johnsonville, Wellington",1/01/1970,$1.04M,$965K - $1.11M,https://www.homes.co.nz/address/wellington/johnsonville/15-bassett-road/ROKnx
"29 Kitchener Terrace, Johnsonville, Wellington",13/01/2004,$935K,$870K - $1M,https://www.homes.co.nz/address/wellington/johnsonville/29-kitchener-terrace/2EBO8
"4 Saville Row, Johnsonville, Wellington",26/05/2005,$970K,$905K - $1.04M,https://www.homes.co.nz/address/wellington/johnsonville/4-saville-row/DL2nN
"122 Ironside Road, Johnsonville, Wellington",25/06/2004,$920K,$855K - $980K,https://www.homes.co.nz/address/wellington/johnsonville/122-ironside-road/15rkW
"80 Chesterton Street, Johnsonville, Wellington",9/05/2007,$915K,$855K - $980K,https://www.homes.co.nz/address/wellington/johnsonville/80-chesterton-street/84AXG
"41A Bannister Avenue, Johnsonville, Wellington",9/11/2017,$835K,$775K - $890K,https://www.homes.co.nz/address/wellington/johnsonville/41a-bannister-avenue/K0eDW
"46B Haumia Street, Johnsonville, Wellington",4/04/1997,$870K,$810K - $930K,https://www.homes.co.nz/address/wellington/johnsonville/46b-haumia-street/Blyk7
"3/7 Sheridan Terrace, Johnsonville, Wellington",15/03/1997,$905K,$855K - $955K,https://www.homes.co.nz/address/wellington/johnsonville/3-7-sheridan-terrace/Y20GV
"7 Hollies Crescent, Johnsonville, Wellington",13/11/1999,$1.13M,$1.05M - $1.21M,https://www.homes.co.nz/address/wellington/johnsonville/7-hollies-crescent/E0BGX
"51 Ironside Road, Johnsonville, Wellington",1/01/1970,$1.05M,$975K - $1.12M,https://www.homes.co.nz/address/wellington/johnsonville/51-ironside-road/qkZKa
"9 Arapiko Street, Johnsonville, Wellington",1/01/1970,$1.01M,$935K - $1.08M,https://www.homes.co.nz/address/wellington/johnsonville/9-arapiko-street/Mk5vn
"26 Hollies Crescent, Johnsonville, Wellington",24/10/2009,$920K,$855K - $985K,https://www.homes.co.nz/address/wellington/johnsonville/26-hollies-crescent/kkqyw
"3 Hilton Way, Johnsonville, Wellington",1/01/1970,$905K,$845K - $970K,https://www.homes.co.nz/address/wellington/johnsonville/3-hilton-way/152Ap
