WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8043022333 -41.2338517833),376381,334450,Road,,6,,,,,Johnsonville,Wellington,6,Plumer Street,"6 Plumer Street, Johnsonville, Wellington",83965,174.80430223,-41.23385178,,,Johnsonville,Wellington,Plumer Street,"6 Plumer Street, Johnsonville, Wellington",174.8043022333,-41.2338517833
POINT (174.805592 -41.2170561833),381618,339235,Road,,22,,,,,Johnsonville,Wellington,22,Monowai Road,"22 Monowai Road, Johnsonville, Wellington",86353,174.80559200,-41.21705618,,,Johnsonville,Wellington,Monowai Road,"22 Monowai Road, Johnsonville, Wellington",174.805592,-41.2170561833
POINT (174.8109764333 -41.22155135),381699,339308,Road,,31,,,,,Johnsonville,Wellington,31,Helston Road,"31 Helston Road, Johnsonville, Wellington",84796,174.81097643,-41.22155135,,,Johnsonville,Wellington,Helston Road,"31 Helston Road, Johnsonville, Wellington",174.8109764333,-41.22155135
POINT (174.8066165667 -41.2153287667),381928,339508,Road,,6,,,,,Johnsonville,Wellington,6,Saville Row,"6 Saville Row, Johnsonville, Wellington",74590,174.80661657,-41.21532877,,,Johnsonville,Wellington,Saville Row,"6 Saville Row, Johnsonville, Wellington",174.8066165667,-41.2153287667
POINT (174.8121736 -41.2282970333),382177,339736,Road,,17,,,,,Johnsonville,Wellington,17,Ceres Crescent,"17 Ceres Crescent, Johnsonville, Wellington",72497,174.81217360,-41.22829703,,,Johnsonville,Wellington,Ceres Crescent,"17 Ceres Crescent, Johnsonville, Wellington",174.8121736,-41.2282970333
POINT (174.811978 -41.2256322),382429,339954,Road,,45,,,,,Johnsonville,Wellington,45,Chesterton Street,"45 Chesterton Street, Johnsonville, Wellington",93785,174.81197800,-41.22563220,,,Johnsonville,Wellington,Chesterton Street,"45 Chesterton Street, Johnsonville, Wellington",174.811978,-41.2256322
POINT (174.79929595 -41.2207841833),1343127,1661972,Road,,60,F,,,,Johnsonville,Wellington,60F,Woodland Road,"60F Woodland Road, Johnsonville, Wellington",90087,174.79929595,-41.22078418,,,Johnsonville,Wellington,Woodland Road,"60F Woodland Road, Johnsonville, Wellington",174.79929595,-41.2207841833
POINT (174.8058469333 -41.2164585333),1358784,1664022,Road,,12,A,,,,Johnsonville,Wellington,12A,Monowai Road,"12A Monowai Road, Johnsonville, Wellington",86353,174.80584693,-41.21645853,,,Johnsonville,Wellington,Monowai Road,"12A Monowai Road, Johnsonville, Wellington",174.8058469333,-41.2164585333
POINT (174.80427055 -41.2167428),1631724,1707424,Road,,71,A,,,,Johnsonville,Wellington,71A,Clifford Road,"71A Clifford Road, Johnsonville, Wellington",92339,174.80427055,-41.21674280,,,Johnsonville,Wellington,Clifford Road,"71A Clifford Road, Johnsonville, Wellington",174.80427055,-41.2167428
POINT (174.8085843167 -41.2202748667),1933548,1872875,Road,7,8,,,,,Johnsonville,Wellington,7/8,Middleton Road,"7/8 Middleton Road, Johnsonville, Wellington",92019,174.80858432,-41.22027487,,,Johnsonville,Wellington,Middleton Road,"7/8 Middleton Road, Johnsonville, Wellington",174.8085843167,-41.2202748667
