full_address,estimate_date,estimate_value,estimate_range,link
"16 Moonsail Drive, Whitby, Porirua",6/09/2016,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/16-moonsail-drive/bRWyl
"14 Moonsail Drive, Whitby, Porirua",24/01/2021,$1.04M,$980K - $1.09M,https://www.homes.co.nz/address/porirua/whitby/14-moonsail-drive/71LLO
"7 Moonsail Drive, Whitby, Porirua",11/02/2016,$1.09M,$1.03M - $1.15M,https://www.homes.co.nz/address/porirua/whitby/7-moonsail-drive/LxqOV
"29 Moonsail Drive, Whitby, Porirua",17/02/2021,$1.21M,$1.15M - $1.26M,https://www.homes.co.nz/address/porirua/whitby/29-moonsail-drive/EWyYM
"22 Moonsail Drive, Whitby, Porirua",28/02/2020,$1.11M,$1.05M - $1.17M,https://www.homes.co.nz/address/porirua/whitby/22-moonsail-drive/71QpE
"11 Moonsail Drive, Whitby, Porirua",25/02/2016,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/11-moonsail-drive/LJVaN
"12 Bowman Place, Whitby, Porirua",25/01/2013,$1.11M,$1.05M - $1.17M,https://www.homes.co.nz/address/porirua/whitby/12-bowman-place/GgrgX
"12 Eclipse Lane, Whitby, Porirua",21/07/2015,$1.2M,$1.13M - $1.26M,https://www.homes.co.nz/address/porirua/whitby/12-eclipse-lane/4L8WE
"7 Luff Place, Whitby, Porirua",2/12/2020,$1.02M,$960K - $1.07M,https://www.homes.co.nz/address/porirua/whitby/7-luff-place/nKNeN
"302 Paremata Road, Whitby, Porirua",17/06/2021,$1.7M,$1.65M - $1.73M,https://www.homes.co.nz/address/porirua/whitby/302-paremata-road/05V4N
"38 Endeavour Drive, Whitby, Porirua",5/08/2005,$1.17M,$1.11M - $1.24M,https://www.homes.co.nz/address/porirua/whitby/38-endeavour-drive/z2pgB
"14 Moonraker Place, Whitby, Porirua",6/07/2015,$1.06M,$1M - $1.12M,https://www.homes.co.nz/address/porirua/whitby/14-moonraker-place/Kw84E
"6 Moonraker Place, Whitby, Porirua",6/09/2010,$1.06M,$1M - $1.12M,https://www.homes.co.nz/address/porirua/whitby/6-moonraker-place/aNrgy
"5 Bowman Place, Whitby, Porirua",2/03/2017,$1.41M,$1.33M - $1.48M,https://www.homes.co.nz/address/porirua/whitby/5-bowman-place/YwlrP
"33 Lanyon Place, Whitby, Porirua",25/08/2016,$1.17M,$1.11M - $1.24M,https://www.homes.co.nz/address/porirua/whitby/33-lanyon-place/ppj7o
"24 The Layline, Whitby, Porirua",1/09/2007,$1.72M,$1.63M - $1.82M,https://www.homes.co.nz/address/porirua/whitby/24-the-layline/a7ZyQ
"22 Adventure Drive, Whitby, Porirua",23/04/2007,$955K,$900K - $1.01M,https://www.homes.co.nz/address/porirua/whitby/22-adventure-drive/DGYNw
"65 Ayton Drive, Whitby, Porirua",1/01/1970,$925K,$870K - $975K,https://www.homes.co.nz/address/porirua/whitby/65-ayton-drive/OPnyX
"33 Cleat Street, Whitby, Porirua",4/07/2020,$950K,$895K - $1M,https://www.homes.co.nz/address/porirua/whitby/33-cleat-street/wK2a9
"16 Exploration Way, Whitby, Porirua",2/10/2013,$1.25M,$1.18M - $1.32M,https://www.homes.co.nz/address/porirua/whitby/16-exploration-way/054qj
"39 Hicks Close, Whitby, Porirua",4/02/2013,$1.01M,$955K - $1.07M,https://www.homes.co.nz/address/porirua/whitby/39-hicks-close/wKplW
"1 Kedge Lane, Whitby, Porirua",16/11/2006,$1.04M,$980K - $1.1M,https://www.homes.co.nz/address/porirua/whitby/1-kedge-lane/bZKok
"72 Leeward Drive, Whitby, Porirua",7/07/2016,$1.19M,$1.12M - $1.25M,https://www.homes.co.nz/address/porirua/whitby/72-leeward-drive/VAjXD
"51 Postgate Drive, Whitby, Porirua",5/07/2019,$1.11M,$1.05M - $1.17M,https://www.homes.co.nz/address/porirua/whitby/51-postgate-drive/vvEEX
"7 Shackle Lane, Whitby, Porirua",2/11/1995,$970K,$920K - $1.03M,https://www.homes.co.nz/address/porirua/whitby/7-shackle-lane/NqZVn
"31 Solander Place, Whitby, Porirua",12/05/1999,$1.04M,$985K - $1.1M,https://www.homes.co.nz/address/porirua/whitby/31-solander-place/9gNyQ
"18 Solander Place, Whitby, Porirua",1/01/1970,$1.16M,$1.1M - $1.23M,https://www.homes.co.nz/address/porirua/whitby/18-solander-place/1RnWw
"14 The Crowsnest, Whitby, Porirua",1/01/1970,$1.39M,$1.31M - $1.46M,https://www.homes.co.nz/address/porirua/whitby/14-the-crowsnest/WegRK
"2 Woolwich Close, Whitby, Porirua",13/05/2021,$985K,$950K - $1.01M,https://www.homes.co.nz/address/porirua/whitby/2-woolwich-close/0MzGj
"17 Resolution Drive, Whitby, Porirua",22/10/2019,$1.39M,$1.31M - $1.46M,https://www.homes.co.nz/address/porirua/whitby/17-resolution-drive/8Xzp7
"31 Staithes Drive North, Whitby, Porirua",16/07/2014,$1.03M,$975K - $1.09M,https://www.homes.co.nz/address/porirua/whitby/31-staithes-drive-north/z2plR
"19 Botany Lane, Whitby, Porirua",25/08/2011,$1.09M,$1.03M - $1.15M,https://www.homes.co.nz/address/porirua/whitby/19-botany-lane/yKWbb
"10 Madeira Close, Whitby, Porirua",11/07/2016,$1.51M,$1.43M - $1.6M,https://www.homes.co.nz/address/porirua/whitby/10-madeira-close/Ye58n
"10 Bluejacket Place, Whitby, Porirua",2/03/2012,$1.14M,$1.07M - $1.2M,https://www.homes.co.nz/address/porirua/whitby/10-bluejacket-place/OPDG1
"10 Banks Boulevard, Whitby, Porirua",3/10/2018,$1.22M,$1.16M - $1.29M,https://www.homes.co.nz/address/porirua/whitby/10-banks-boulevard/OxPYY
"8 Botany Lane, Whitby, Porirua",11/11/2013,$1.11M,$1.05M - $1.17M,https://www.homes.co.nz/address/porirua/whitby/8-botany-lane/xK2Rb
"59 James Cook Drive, Whitby, Porirua",28/02/2019,$1.29M,$1.21M - $1.36M,https://www.homes.co.nz/address/porirua/whitby/59-james-cook-drive/bZXOy
"16 Bluejacket Place, Whitby, Porirua",12/02/2021,$1.32M,$1.25M - $1.38M,https://www.homes.co.nz/address/porirua/whitby/16-bluejacket-place/LwxJk
"3 Banks Boulevard, Whitby, Porirua",27/11/2014,$1.21M,$1.14M - $1.28M,https://www.homes.co.nz/address/porirua/whitby/3-banks-boulevard/WAa8W
"21 Banks Boulevard, Whitby, Porirua",9/09/2015,$1.11M,$1.05M - $1.17M,https://www.homes.co.nz/address/porirua/whitby/21-banks-boulevard/9Lnpe
"130 Discovery Drive, Whitby, Porirua",1/01/1970,$1.18M,$1.12M - $1.25M,https://www.homes.co.nz/address/porirua/whitby/130-discovery-drive/aZonL
