full_address,estimate_date,estimate_value,estimate_range,link
"5 Donald Crescent, Karori, Wellington",24/12/2003,$1.35M,$1.26M - $1.44M,https://www.homes.co.nz/address/wellington/karori/5-donald-crescent/Y2RAM
"77A Chamberlain Road, Karori, Wellington",14/06/2006,$1.23M,$1.15M - $1.31M,https://www.homes.co.nz/address/wellington/karori/77a-chamberlain-road/alwqL
"82A Messines Road, Karori, Wellington",19/06/1991,$2.02M,$1.89M - $2.15M,https://www.homes.co.nz/address/wellington/karori/82a-messines-road/Y2Xza
"62B Percy Dyett Drive, Karori, Wellington",27/02/2003,$950K,$890K - $1.01M,https://www.homes.co.nz/address/wellington/karori/62b-percy-dyett-drive/ek5R7
"53 Homewood Avenue, Karori, Wellington",9/02/2015,$1.79M,$1.67M - $1.91M,https://www.homes.co.nz/address/wellington/karori/53-homewood-avenue/MkJkZ
"24 Shotter Street, Karori, Wellington",19/07/2014,$1.6M,$1.5M - $1.71M,https://www.homes.co.nz/address/wellington/karori/24-shotter-street/wxKor
"12A Montgomery Avenue, Karori, Wellington",31/10/1986,$1.18M,$1.1M - $1.26M,https://www.homes.co.nz/address/wellington/karori/12a-montgomery-avenue/4ENOV
"26A Parklands Drive, Karori, Wellington",3/08/2005,$955K,$895K - $1.02M,https://www.homes.co.nz/address/wellington/karori/26a-parklands-drive/x4pgk
"11 Becker Way, Karori, Wellington",19/04/2018,$1.48M,$1.39M - $1.58M,https://www.homes.co.nz/address/wellington/karori/11-becker-way/AlR4z
"40 David Crescent, Karori, Wellington",3/07/2001,$1.75M,$1.64M - $1.86M,https://www.homes.co.nz/address/wellington/karori/40-david-crescent/yb84W
"102 Donald Street, Karori, Wellington",10/04/2011,$1.42M,$1.32M - $1.51M,https://www.homes.co.nz/address/wellington/karori/102-donald-street/X4nXj
"15 Nottingham Street, Karori, Wellington",1/01/1970,$2.11M,$1.97M - $2.25M,https://www.homes.co.nz/address/wellington/karori/15-nottingham-street/X4wOb
"29 Futuna Close, Karori, Wellington",25/05/2018,$1.08M,$1.02M - $1.15M,https://www.homes.co.nz/address/wellington/karori/29-futuna-close/nLwqN
"5 Campbell Street, Karori, Wellington",29/01/2016,$1.34M,$1.26M - $1.43M,https://www.homes.co.nz/address/wellington/karori/5-campbell-street/ROK7y
"6 Reading Street, Karori, Wellington",2/09/1982,$1.73M,$1.61M - $1.84M,https://www.homes.co.nz/address/wellington/karori/6-reading-street/0rlMN
"21A Parkvale Road, Karori, Wellington",5/01/2007,$1.92M,$1.79M - $2.04M,https://www.homes.co.nz/address/wellington/karori/21a-parkvale-road/4EyRg
"37 Homewood Avenue, Karori, Wellington",29/10/1991,$1.56M,$1.46M - $1.67M,https://www.homes.co.nz/address/wellington/karori/37-homewood-avenue/wxGrW
"4A Versailles Street, Karori, Wellington",4/04/2018,$785K,$740K - $835K,https://www.homes.co.nz/address/wellington/karori/4a-versailles-street/7E78M
"2/144A Karori Road, Karori, Wellington",8/12/2016,$1.32M,$1.23M - $1.41M,https://www.homes.co.nz/address/wellington/karori/2-144a-karori-road/wx7Ol
"68A Chaytor Street, Karori, Wellington",3/12/2015,$1.26M,$1.18M - $1.34M,https://www.homes.co.nz/address/wellington/karori/68a-chaytor-street/ROK81
"106 Parkvale Road, Karori, Wellington",17/06/2021,$1M,$940K - $1.06M,https://www.homes.co.nz/address/wellington/karori/106-parkvale-road/849gK
"5A Astor Street, Karori, Wellington",25/02/2021,$740K,$705K - $775K,https://www.homes.co.nz/address/wellington/karori/5a-astor-street/nLRgg
"57 Nottingham Street, Karori, Wellington",10/03/2020,$1.2M,$1.13M - $1.28M,https://www.homes.co.nz/address/wellington/karori/57-nottingham-street/alGKV
"71 Old Karori Road, Karori, Wellington",14/02/2013,$1.96M,$1.83M - $2.09M,https://www.homes.co.nz/address/wellington/karori/71-old-karori-road/DLeW2
