WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7352347667 -41.2860358833),347325,308252,Road,,4,,,,,Karori,Wellington,4,Monaghan Avenue,"4 Monaghan Avenue, Karori, Wellington",95752,174.73523477,-41.28603588,,,Karori,Wellington,Monaghan Avenue,"4 Monaghan Avenue, Karori, Wellington",174.7352347667,-41.2860358833
POINT (174.7402299167 -41.2910804667),347537,308457,Road,,89,,,,,Karori,Wellington,89,Beauchamp Street,"89 Beauchamp Street, Karori, Wellington",78409,174.74022992,-41.29108047,,,Karori,Wellington,Beauchamp Street,"89 Beauchamp Street, Karori, Wellington",174.7402299167,-41.2910804667
POINT (174.7454039333 -41.2782810167),347869,308771,Road,,16,,,,,Karori,Wellington,16,Waikare Street,"16 Waikare Street, Karori, Wellington",93543,174.74540393,-41.27828102,,,Karori,Wellington,Waikare Street,"16 Waikare Street, Karori, Wellington",174.7454039333,-41.2782810167
POINT (174.7473979667 -41.28419695),347947,308842,Road,,22,,,,,Karori,Wellington,22,Lancaster Street,"22 Lancaster Street, Karori, Wellington",71592,174.74739797,-41.28419695,,,Karori,Wellington,Lancaster Street,"22 Lancaster Street, Karori, Wellington",174.7473979667,-41.28419695
POINT (174.7495586667 -41.2795615333),348033,308920,Road,,31,,,,,Karori,Wellington,31,Standen Street,"31 Standen Street, Karori, Wellington",86056,174.74955867,-41.27956153,,,Karori,Wellington,Standen Street,"31 Standen Street, Karori, Wellington",174.7495586667,-41.2795615333
POINT (174.7515506833 -41.279675),348218,309095,Road,,63,,,,,Karori,Wellington,63,Old Karori Road,"63 Old Karori Road, Karori, Wellington",84912,174.75155068,-41.27967500,,,Karori,Wellington,Old Karori Road,"63 Old Karori Road, Karori, Wellington",174.7515506833,-41.279675
POINT (174.7513914833 -41.28073585),348288,309162,Road,,79,,,,,Karori,Wellington,79,Old Karori Road,"79 Old Karori Road, Karori, Wellington",84912,174.75139148,-41.28073585,,,Karori,Wellington,Old Karori Road,"79 Old Karori Road, Karori, Wellington",174.7513914833,-41.28073585
POINT (174.75016205 -41.2806810167),348382,309249,Road,,9,,,,,Karori,Wellington,9,Standen Street,"9 Standen Street, Karori, Wellington",86056,174.75016205,-41.28068102,,,Karori,Wellington,Standen Street,"9 Standen Street, Karori, Wellington",174.75016205,-41.2806810167
POINT (174.74711385 -41.2854678667),348505,309359,Road,,15,,,,,Karori,Wellington,15,Duthie Street,"15 Duthie Street, Karori, Wellington",76409,174.74711385,-41.28546787,,,Karori,Wellington,Duthie Street,"15 Duthie Street, Karori, Wellington",174.74711385,-41.2854678667
POINT (174.7450270167 -41.2942117333),348520,309374,Road,,175,,,,,Karori,Wellington,175,Campbell Street,"175 Campbell Street, Karori, Wellington",90912,174.74502702,-41.29421173,,,Karori,Wellington,Campbell Street,"175 Campbell Street, Karori, Wellington",174.7450270167,-41.2942117333
