full_address,estimate_date,estimate_value,estimate_range,link
"6 Arakan Way, Khandallah, Wellington",4/10/2004,$2.08M,$1.96M - $2.2M,https://www.homes.co.nz/address/wellington/khandallah/6-arakan-way/RO49y
"6 Amapur Drive, Khandallah, Wellington",1/01/1970,$1.94M,$1.83M - $2.05M,https://www.homes.co.nz/address/wellington/khandallah/6-amapur-drive/qko4X
"2 Raumati Terrace, Khandallah, Wellington",7/10/2014,$1.53M,$1.45M - $1.62M,https://www.homes.co.nz/address/wellington/khandallah/2-raumati-terrace/0rlwJ
"72 Simla Crescent, Khandallah, Wellington",23/04/2005,$915K,$880K - $950K,https://www.homes.co.nz/address/wellington/khandallah/72-simla-crescent/E0p8Q
"120 Nicholson Road, Khandallah, Wellington",29/09/2011,$810K,$765K - $855K,https://www.homes.co.nz/address/wellington/khandallah/120-nicholson-road/ybzWK
"29 Agra Crescent, Khandallah, Wellington",5/09/2019,$1.33M,$1.26M - $1.41M,https://www.homes.co.nz/address/wellington/khandallah/29-agra-crescent/15XPR
"66 Jubilee Road, Khandallah, Wellington",11/11/2015,$1.72M,$1.62M - $1.82M,https://www.homes.co.nz/address/wellington/khandallah/66-jubilee-road/NXeEl
"8 Clive Road, Khandallah, Wellington",20/12/2004,$2.31M,$2.17M - $2.44M,https://www.homes.co.nz/address/wellington/khandallah/8-clive-road/9YZNJ
"6 Whitu Street, Khandallah, Wellington",19/12/2011,$1.84M,$1.74M - $1.95M,https://www.homes.co.nz/address/wellington/khandallah/6-whitu-street/Gkee7
"71 Calcutta Street, Khandallah, Wellington",1/01/1970,$1.57M,$1.48M - $1.65M,https://www.homes.co.nz/address/wellington/khandallah/71-calcutta-street/bLb5b
"56 Lohia Street, Khandallah, Wellington",2/10/2015,$1.65M,$1.55M - $1.74M,https://www.homes.co.nz/address/wellington/khandallah/56-lohia-street/ZoY1p
"22A Calcutta Street, Khandallah, Wellington",1/01/1970,$1.43M,$1.35M - $1.51M,https://www.homes.co.nz/address/wellington/khandallah/22a-calcutta-street/ggOJ0
"26A Agra Crescent, Khandallah, Wellington",15/06/1999,$1.59M,$1.5M - $1.68M,https://www.homes.co.nz/address/wellington/khandallah/26a-agra-crescent/BlW55
"17D Onslow Road, Khandallah, Wellington",7/12/2009,$1.07M,$1.03M - $1.11M,https://www.homes.co.nz/address/wellington/khandallah/17d-onslow-road/X4p7j
"31 Mysore Street, Khandallah, Wellington",14/03/2008,$1.2M,$1.14M - $1.27M,https://www.homes.co.nz/address/wellington/khandallah/31-mysore-street/PaLrG
"14 Nicholson Road, Khandallah, Wellington",4/12/2001,$1.82M,$1.72M - $1.93M,https://www.homes.co.nz/address/wellington/khandallah/14-nicholson-road/JLGbY
"36B Calcutta Street, Khandallah, Wellington",3/05/2008,$1.28M,$1.2M - $1.35M,https://www.homes.co.nz/address/wellington/khandallah/36b-calcutta-street/MkDbv
"39A Lucknow Terrace, Khandallah, Wellington",9/11/2004,$1.55M,$1.47M - $1.64M,https://www.homes.co.nz/address/wellington/khandallah/39a-lucknow-terrace/2EnJj
"23 Calcutta Street, Khandallah, Wellington",15/05/2012,$1.22M,$1.15M - $1.29M,https://www.homes.co.nz/address/wellington/khandallah/23-calcutta-street/K0NWQ
"1/24 Calcutta Street, Khandallah, Wellington",23/09/2016,$915K,$880K - $950K,https://www.homes.co.nz/address/wellington/khandallah/1-24-calcutta-street/QR8rE
"140 Onslow Road, Khandallah, Wellington",8/12/2016,$1.39M,$1.31M - $1.47M,https://www.homes.co.nz/address/wellington/khandallah/140-onslow-road/5EaJE
"4/33 Box Hill, Khandallah, Wellington",1/01/1970,$1.47M,$1.39M - $1.56M,https://www.homes.co.nz/address/wellington/khandallah/4-33-box-hill/jDqVD
"14C Agra Crescent, Khandallah, Wellington",25/09/2017,$1.2M,$1.16M - $1.25M,https://www.homes.co.nz/address/wellington/khandallah/14c-agra-crescent/rXPnD
"128 Khandallah Road, Khandallah, Wellington",1/01/1970,$1.35M,$1.27M - $1.42M,https://www.homes.co.nz/address/wellington/khandallah/128-khandallah-road/Mk5G1
"92B Homebush Road, Khandallah, Wellington",26/04/2016,$1.24M,$1.17M - $1.31M,https://www.homes.co.nz/address/wellington/khandallah/92b-homebush-road/x4kor
"43A Ganges Road, Khandallah, Wellington",12/04/2017,$2.03M,$1.92M - $2.15M,https://www.homes.co.nz/address/wellington/khandallah/43a-ganges-road/nLX4W
"44 Rama Crescent, Khandallah, Wellington",27/02/2002,$1.69M,$1.59M - $1.78M,https://www.homes.co.nz/address/wellington/khandallah/44-rama-crescent/QR8gV
"1 Clive Road, Khandallah, Wellington",2/05/2006,$2.48M,$2.34M - $2.62M,https://www.homes.co.nz/address/wellington/khandallah/1-clive-road/NXlbg
"10 Ardross Avenue, Khandallah, Wellington",7/05/2014,$1.57M,$1.48M - $1.66M,https://www.homes.co.nz/address/wellington/khandallah/10-ardross-avenue/4Ej5M
"27 Omar Street, Khandallah, Wellington",1/01/1970,$1.2M,$1.13M - $1.27M,https://www.homes.co.nz/address/wellington/khandallah/27-omar-street/vyO4P
"37 Madras Street, Khandallah, Wellington",3/02/2001,$1.21M,$1.14M - $1.28M,https://www.homes.co.nz/address/wellington/khandallah/37-madras-street/0r47j
"65A Cashmere Avenue, Khandallah, Wellington",20/08/2019,$1.6M,$1.51M - $1.69M,https://www.homes.co.nz/address/wellington/khandallah/65a-cashmere-avenue/qkJN1
"25A Ngatoto Street, Khandallah, Wellington",20/02/2020,$1.55M,$1.46M - $1.64M,https://www.homes.co.nz/address/wellington/khandallah/25a-ngatoto-street/K0aYG
"9 Maldive Street, Khandallah, Wellington",25/11/2011,$1.47M,$1.39M - $1.55M,https://www.homes.co.nz/address/wellington/khandallah/9-maldive-street/nL75l
"61A Amritsar Street, Khandallah, Wellington",9/06/2012,$1.03M,$995K - $1.07M,https://www.homes.co.nz/address/wellington/khandallah/61a-amritsar-street/jDVVe
"66 Cashmere Avenue, Khandallah, Wellington",27/03/2013,$1.9M,$1.8M - $2.01M,https://www.homes.co.nz/address/wellington/khandallah/66-cashmere-avenue/kklQW
"35 Benares Street, Khandallah, Wellington",1/01/1970,$1.47M,$1.38M - $1.55M,https://www.homes.co.nz/address/wellington/khandallah/35-benares-street/0rDE9
"88 Onslow Road, Khandallah, Wellington",1/01/1970,$1.74M,$1.65M - $1.84M,https://www.homes.co.nz/address/wellington/khandallah/88-onslow-road/kkgLo
"32 Box Hill, Khandallah, Wellington",13/11/2014,$2.06M,$1.94M - $2.18M,https://www.homes.co.nz/address/wellington/khandallah/32-box-hill/x48zG
"54A Mandalay Terrace, Khandallah, Wellington",27/06/2019,$1.29M,$1.24M - $1.34M,https://www.homes.co.nz/address/wellington/khandallah/54a-mandalay-terrace/bLgYy
"13 Himalaya Crescent, Khandallah, Wellington",1/01/1970,$900K,$865K - $935K,https://www.homes.co.nz/address/wellington/khandallah/13-himalaya-crescent/kkorW
"16 Everest Street, Khandallah, Wellington",19/03/2016,$3M,$2.83M - $3.18M,https://www.homes.co.nz/address/wellington/khandallah/16-everest-street/X41n7
"7B Karachi Crescent, Khandallah, Wellington",1/01/1970,$1.22M,$1.15M - $1.29M,https://www.homes.co.nz/address/wellington/khandallah/7b-karachi-crescent/QR8yV
"19A Ravi Street, Khandallah, Wellington",1/01/1970,$1.32M,$1.24M - $1.4M,https://www.homes.co.nz/address/wellington/khandallah/19a-ravi-street/ZoV79
"33 Homebush Road, Khandallah, Wellington",4/09/2019,$1.23M,$1.16M - $1.3M,https://www.homes.co.nz/address/wellington/khandallah/33-homebush-road/5rJE5
"53 Homebush Road, Khandallah, Wellington",1/01/1970,$1.08M,$1.02M - $1.15M,https://www.homes.co.nz/address/wellington/khandallah/53-homebush-road/LD9Z9
"19 Rama Crescent, Khandallah, Wellington",12/11/2015,$1.59M,$1.53M - $1.65M,https://www.homes.co.nz/address/wellington/khandallah/19-rama-crescent/ROvRx
"40 Calcutta Street, Khandallah, Wellington",20/05/2009,$1.41M,$1.33M - $1.49M,https://www.homes.co.nz/address/wellington/khandallah/40-calcutta-street/ekbML
"49 Box Hill, Khandallah, Wellington",30/09/2008,$1.01M,$950K - $1.06M,https://www.homes.co.nz/address/wellington/khandallah/49-box-hill/MkYEn
"2/10 Box Hill, Khandallah, Wellington",24/04/1998,$925K,$890K - $960K,https://www.homes.co.nz/address/wellington/khandallah/2-10-box-hill/K01lW
"25 Rama Crescent, Khandallah, Wellington",17/12/2002,$1.68M,$1.62M - $1.75M,https://www.homes.co.nz/address/wellington/khandallah/25-rama-crescent/ZolEv
"118A Nicholson Road, Khandallah, Wellington",9/08/2018,$1.71M,$1.61M - $1.81M,https://www.homes.co.nz/address/wellington/khandallah/118a-nicholson-road/Y27XV
"22 Waru Street, Khandallah, Wellington",3/12/2006,$1.35M,$1.27M - $1.43M,https://www.homes.co.nz/address/wellington/khandallah/22-waru-street/5rOOR
"39 Rangoon Street, Khandallah, Wellington",30/08/1997,$1.12M,$1.05M - $1.18M,https://www.homes.co.nz/address/wellington/khandallah/39-rangoon-street/Y28AV
"38 Satara Crescent, Khandallah, Wellington",1/01/1970,$1.7M,$1.6M - $1.8M,https://www.homes.co.nz/address/wellington/khandallah/38-satara-crescent/o02qb
"18A Burma Road, Khandallah, Wellington",3/07/2013,$1.26M,$1.19M - $1.33M,https://www.homes.co.nz/address/wellington/khandallah/18a-burma-road/ggRM9
"7 Mysore Street, Khandallah, Wellington",1/01/1970,$1.07M,$1.01M - $1.14M,https://www.homes.co.nz/address/wellington/khandallah/7-mysore-street/2EXx8
"8 Benares Street, Khandallah, Wellington",1/01/1970,$1.46M,$1.37M - $1.54M,https://www.homes.co.nz/address/wellington/khandallah/8-benares-street/NXrxW
"1/15A Box Hill, Khandallah, Wellington",28/10/2003,$895K,$860K - $925K,https://www.homes.co.nz/address/wellington/khandallah/1-15a-box-hill/E0eGO
"32B Simla Crescent, Khandallah, Wellington",1/01/1970,$2.36M,$2.23M - $2.5M,https://www.homes.co.nz/address/wellington/khandallah/32b-simla-crescent/JLv5L
"54 Jubilee Road, Khandallah, Wellington",1/01/1970,$2.01M,$1.89M - $2.12M,https://www.homes.co.nz/address/wellington/khandallah/54-jubilee-road/kWB4P
"45 Rangoon Street, Khandallah, Wellington",2/04/2014,$1.26M,$1.19M - $1.33M,https://www.homes.co.nz/address/wellington/khandallah/45-rangoon-street/ybk7e
"8 Shortland Street, Khandallah, Wellington",19/04/2016,$1.41M,$1.33M - $1.49M,https://www.homes.co.nz/address/wellington/khandallah/8-shortland-street/kkPGw
"11A Lochiel Road, Khandallah, Wellington",18/12/2005,$2.5M,$2.36M - $2.65M,https://www.homes.co.nz/address/wellington/khandallah/11a-lochiel-road/MkYXe
"25 Kabul Street, Khandallah, Wellington",17/04/2018,$1.59M,$1.5M - $1.68M,https://www.homes.co.nz/address/wellington/khandallah/25-kabul-street/Zor7V
"58 Nicholson Road, Khandallah, Wellington",28/03/1996,$2.12M,$2M - $2.24M,https://www.homes.co.nz/address/wellington/khandallah/58-nicholson-road/LDGlJ
"25 Box Hill, Khandallah, Wellington",9/12/2009,$1.98M,$1.87M - $2.09M,https://www.homes.co.nz/address/wellington/khandallah/25-box-hill/nL49v
"42 Rangoon Street, Khandallah, Wellington",13/11/2017,$1.11M,$1.04M - $1.17M,https://www.homes.co.nz/address/wellington/khandallah/42-rangoon-street/DLnDr
"16A Calcutta Street, Khandallah, Wellington",5/07/2013,$1.51M,$1.42M - $1.59M,https://www.homes.co.nz/address/wellington/khandallah/16a-calcutta-street/ekja7
