WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7870261 -41.2489394833),370490,2774478,Road,,59,,,,,Khandallah,Wellington,59,Cockayne Road,"59 Cockayne Road, Khandallah, Wellington",100676,174.78702610,-41.24893948,,,Khandallah,Wellington,Cockayne Road,"59 Cockayne Road, Khandallah, Wellington",174.7870261,-41.2489394833
POINT (174.78947915 -41.25014855),370613,2774454,Road,,7,,,,,Khandallah,Wellington,7,Indira Place,"7 Indira Place, Khandallah, Wellington",95991,174.78947915,-41.25014855,,,Khandallah,Wellington,Indira Place,"7 Indira Place, Khandallah, Wellington",174.78947915,-41.25014855
POINT (174.7894855833 -41.2487476167),370662,2774506,Road,,8,,,,,Khandallah,Wellington,8,Torwood Road,"8 Torwood Road, Khandallah, Wellington",98433,174.78948558,-41.24874762,,,Khandallah,Wellington,Torwood Road,"8 Torwood Road, Khandallah, Wellington",174.7894855833,-41.2487476167
POINT (174.7901032167 -41.2484574667),1606106,2774461,Road,,3,B,,,,Khandallah,Wellington,3B,Torwood Road,"3B Torwood Road, Khandallah, Wellington",98433,174.79010322,-41.24845747,,,Khandallah,Wellington,Torwood Road,"3B Torwood Road, Khandallah, Wellington",174.7901032167,-41.2484574667
POINT (174.77928605 -41.2417510333),1609956,2766721,Road,,24,A,,,,Khandallah,Wellington,24A,Ramphal Terrace,"24A Ramphal Terrace, Khandallah, Wellington",93920,174.77928605,-41.24175103,,,Khandallah,Wellington,Ramphal Terrace,"24A Ramphal Terrace, Khandallah, Wellington",174.77928605,-41.2417510333
POINT (174.7796295667 -41.2420401833),1643573,2766718,Road,,16,,,,,Khandallah,Wellington,16,Ramphal Terrace,"16 Ramphal Terrace, Khandallah, Wellington",93920,174.77962957,-41.24204018,,,Khandallah,Wellington,Ramphal Terrace,"16 Ramphal Terrace, Khandallah, Wellington",174.7796295667,-41.2420401833
POINT (174.78923875 -41.2504084833),1698323,2774437,Road,,12,A,,,,Khandallah,Wellington,12A,Indira Place,"12A Indira Place, Khandallah, Wellington",95991,174.78923875,-41.25040848,,,Khandallah,Wellington,Indira Place,"12A Indira Place, Khandallah, Wellington",174.78923875,-41.2504084833
POINT (174.786644683754 -41.2486396302833),370520,2579405,Road,,60,B,,,,Khandallah,Wellington,60B,Cockayne Road,"60B Cockayne Road, Khandallah, Wellington",100676,174.78664468,-41.24863963,,,Khandallah,Wellington,Cockayne Road,"60B Cockayne Road, Khandallah, Wellington",174.786644683754,-41.2486396302833
POINT (174.78001985 -41.2426882),361324,2766690,Road,,1,,,,,Khandallah,Wellington,1,Andaman Grove,"1 Andaman Grove, Khandallah, Wellington",85278,174.78001985,-41.24268820,,,Khandallah,Wellington,Andaman Grove,"1 Andaman Grove, Khandallah, Wellington",174.78001985,-41.2426882
POINT (174.7803884167 -41.2431225333),361326,2766736,Road,,1,,,,,Khandallah,Wellington,1,Satara Crescent,"1 Satara Crescent, Khandallah, Wellington",93944,174.78038842,-41.24312253,,,Khandallah,Wellington,Satara Crescent,"1 Satara Crescent, Khandallah, Wellington",174.7803884167,-41.2431225333
POINT (174.7783274333 -41.24334745),361334,2766692,Road,,21,,,,,Khandallah,Wellington,21,Satara Crescent,"21 Satara Crescent, Khandallah, Wellington",75969,174.77832743,-41.24334745,,,Khandallah,Wellington,Satara Crescent,"21 Satara Crescent, Khandallah, Wellington",174.7783274333,-41.24334745
POINT (174.7792594167 -41.2419903667),361337,2766710,Road,,22,,,,,Khandallah,Wellington,22,Ramphal Terrace,"22 Ramphal Terrace, Khandallah, Wellington",93920,174.77925942,-41.24199037,,,Khandallah,Wellington,Ramphal Terrace,"22 Ramphal Terrace, Khandallah, Wellington",174.7792594167,-41.2419903667
POINT (174.7812521833 -41.2436410833),361354,2766755,Road,,2,,,,,Khandallah,Wellington,2,Malda Grove,"2 Malda Grove, Khandallah, Wellington",97323,174.78125218,-41.24364108,,,Khandallah,Wellington,Malda Grove,"2 Malda Grove, Khandallah, Wellington",174.7812521833,-41.2436410833
POINT (174.7783914167 -41.2427736667),361421,2766698,Road,,4,,,,,Khandallah,Wellington,4,Ramphal Terrace,"4 Ramphal Terrace, Khandallah, Wellington",93920,174.77839142,-41.24277367,,,Khandallah,Wellington,Ramphal Terrace,"4 Ramphal Terrace, Khandallah, Wellington",174.7783914167,-41.2427736667
POINT (174.7804102167 -41.2434988333),361438,2766763,Road,,57,,,,,Khandallah,Wellington,57,Amapur Drive,"57 Amapur Drive, Khandallah, Wellington",71511,174.78041022,-41.24349883,,,Khandallah,Wellington,Amapur Drive,"57 Amapur Drive, Khandallah, Wellington",174.7804102167,-41.2434988333
POINT (174.7801671833 -41.2423481),361446,2766713,Road,,5,,,,,Khandallah,Wellington,5,Andaman Grove,"5 Andaman Grove, Khandallah, Wellington",85278,174.78016718,-41.24234810,,,Khandallah,Wellington,Andaman Grove,"5 Andaman Grove, Khandallah, Wellington",174.7801671833,-41.2423481
POINT (174.7800507833 -41.2437119833),361452,2766765,Road,,61,,,,,Khandallah,Wellington,61,Amapur Drive,"61 Amapur Drive, Khandallah, Wellington",71511,174.78005078,-41.24371198,,,Khandallah,Wellington,Amapur Drive,"61 Amapur Drive, Khandallah, Wellington",174.7800507833,-41.2437119833
POINT (174.7804080833 -41.2424044),361470,2766701,Road,,6,,,,,Khandallah,Wellington,6,Andaman Grove,"6 Andaman Grove, Khandallah, Wellington",85278,174.78040808,-41.24240440,,,Khandallah,Wellington,Andaman Grove,"6 Andaman Grove, Khandallah, Wellington",174.7804080833,-41.2424044
POINT (174.7809364 -41.2438250333),361474,2766785,Road,,6,,,,,Khandallah,Wellington,6,Malda Grove,"6 Malda Grove, Khandallah, Wellington",97323,174.78093640,-41.24382503,,,Khandallah,Wellington,Malda Grove,"6 Malda Grove, Khandallah, Wellington",174.7809364,-41.2438250333
POINT (174.7801867 -41.24335295),361486,2766740,Road,,76,,,,,Khandallah,Wellington,76,Amapur Drive,"76 Amapur Drive, Khandallah, Wellington",71511,174.78018670,-41.24335295,,,Khandallah,Wellington,Amapur Drive,"76 Amapur Drive, Khandallah, Wellington",174.7801867,-41.24335295
POINT (174.7800153167 -41.2434532167),361490,2766741,Road,,78,,,,,Khandallah,Wellington,78,Amapur Drive,"78 Amapur Drive, Khandallah, Wellington",71511,174.78001532,-41.24345322,,,Khandallah,Wellington,Amapur Drive,"78 Amapur Drive, Khandallah, Wellington",174.7800153167,-41.2434532167
POINT (174.77983265 -41.2435614667),361503,2766742,Road,,80,,,,,Khandallah,Wellington,80,Amapur Drive,"80 Amapur Drive, Khandallah, Wellington",71511,174.77983265,-41.24356147,,,Khandallah,Wellington,Amapur Drive,"80 Amapur Drive, Khandallah, Wellington",174.77983265,-41.2435614667
POINT (174.7797182 -41.2425634667),1476355,2766720,Road,,12,A,,,,Khandallah,Wellington,12A,Satara Crescent,"12A Satara Crescent, Khandallah, Wellington",75969,174.77971820,-41.24256347,,,Khandallah,Wellington,Satara Crescent,"12A Satara Crescent, Khandallah, Wellington",174.7797182,-41.2425634667
POINT (174.7901008 -41.2490389333),369884,2774414,Road,,11,,,,,Khandallah,Wellington,11,Torwood Road,"11 Torwood Road, Khandallah, Wellington",98433,174.79010080,-41.24903893,,,Khandallah,Wellington,Torwood Road,"11 Torwood Road, Khandallah, Wellington",174.7901008,-41.2490389333
POINT (174.78926435 -41.2506014833),369946,2774416,Road,,14,,,,,Khandallah,Wellington,14,Indira Place,"14 Indira Place, Khandallah, Wellington",95991,174.78926435,-41.25060148,,,Khandallah,Wellington,Indira Place,"14 Indira Place, Khandallah, Wellington",174.78926435,-41.2506014833
POINT (174.7893491 -41.2486904833),369959,2774507,Road,,15,A,,,,Khandallah,Wellington,15A,Clutha Avenue,"15A Clutha Avenue, Khandallah, Wellington",96050,174.78934910,-41.24869048,,,Khandallah,Wellington,Clutha Avenue,"15A Clutha Avenue, Khandallah, Wellington",174.7893491,-41.2486904833
POINT (174.7898017333 -41.2493076833),369991,2774490,Road,,16,,,,,Khandallah,Wellington,16,Torwood Road,"16 Torwood Road, Khandallah, Wellington",98433,174.78980173,-41.24930768,,,Khandallah,Wellington,Torwood Road,"16 Torwood Road, Khandallah, Wellington",174.7898017333,-41.2493076833
