WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.6753540333 -36.58493525),2005277,3173241,Road,,3,,,,,Orewa,Orewa,3,Tawa Place,"3 Tawa Place, Orewa",382775,174.67535403,-36.58493525,,,Orewa,Orewa,Tawa Place,"3 Tawa Place, Orewa",174.6753540333,-36.58493525
POINT (174.6772316333 -36.5840913833),1986120,3173129,Road,,34,,,,,Orewa,Orewa,34,Ascension Crescent,"34 Ascension Crescent, Orewa",382786,174.67723163,-36.58409138,,,Orewa,Orewa,Ascension Crescent,"34 Ascension Crescent, Orewa",174.6772316333,-36.5840913833
POINT (174.6765358667 -36.5834719333),1991701,3173142,Road,,52,,,,,Orewa,Orewa,52,Ascension Crescent,"52 Ascension Crescent, Orewa",378304,174.67653587,-36.58347193,,,Orewa,Orewa,Ascension Crescent,"52 Ascension Crescent, Orewa",174.6765358667,-36.5834719333
POINT (174.6767057833 -36.5833116667),1991710,3173224,Road,,7,,,,,Orewa,Orewa,7,Manawanui Way,"7 Manawanui Way, Orewa",378305,174.67670578,-36.58331167,,,Orewa,Orewa,Manawanui Way,"7 Manawanui Way, Orewa",174.6767057833,-36.5833116667
POINT (174.676859 -36.58341325),1991711,3173225,Road,,9,,,,,Orewa,Orewa,9,Manawanui Way,"9 Manawanui Way, Orewa",378305,174.67685900,-36.58341325,,,Orewa,Orewa,Manawanui Way,"9 Manawanui Way, Orewa",174.676859,-36.58341325
POINT (174.6936159 -36.5847880167),1992318,3208428,Road,,3,A,,,,Orewa,Orewa,3A,Alice Avenue,"3A Alice Avenue, Orewa",162857,174.69361590,-36.58478802,,,Orewa,Orewa,Alice Avenue,"3A Alice Avenue, Orewa",174.6936159,-36.5847880167
POINT (174.6764605667 -36.5844860333),2005292,3173238,Road,,29,,,,,Orewa,Orewa,29,Tawa Place,"29 Tawa Place, Orewa",382775,174.67646057,-36.58448603,,,Orewa,Orewa,Tawa Place,"29 Tawa Place, Orewa",174.6764605667,-36.5844860333
POINT (174.6753719167 -36.5836418833),2005255,3173153,Road,,11,,,,,Orewa,Orewa,11,Harvest Avenue,"11 Harvest Avenue, Orewa",385340,174.67537192,-36.58364188,,,Orewa,Orewa,Harvest Avenue,"11 Harvest Avenue, Orewa",174.6753719167,-36.5836418833
POINT (174.6751122833 -36.58391135),2005270,3173266,Road,,15,,,,,Orewa,Orewa,15,Harvest Avenue,"15 Harvest Avenue, Orewa",385340,174.67511228,-36.58391135,,,Orewa,Orewa,Harvest Avenue,"15 Harvest Avenue, Orewa",174.6751122833,-36.58391135
POINT (174.6747949 -36.5846927667),2005274,3173270,Road,,25,,,,,Orewa,Orewa,25,Harvest Avenue,"25 Harvest Avenue, Orewa",385340,174.67479490,-36.58469277,,,Orewa,Orewa,Harvest Avenue,"25 Harvest Avenue, Orewa",174.6747949,-36.5846927667
POINT (174.6769706833 -36.5849488667),2005311,3173173,Road,,20,,,,,Orewa,Orewa,20,Ascension Crescent,"20 Ascension Crescent, Orewa",382786,174.67697068,-36.58494887,,,Orewa,Orewa,Ascension Crescent,"20 Ascension Crescent, Orewa",174.6769706833,-36.5849488667
POINT (174.6758293333 -36.58617145),2005320,3173179,Road,,7,,,,,Orewa,Orewa,7,Taraire Place,"7 Taraire Place, Orewa",375790,174.67582933,-36.58617145,,,Orewa,Orewa,Taraire Place,"7 Taraire Place, Orewa",174.6758293333,-36.58617145
POINT (174.6754796667 -36.5861617167),2005324,3173181,Road,,10,,,,,Orewa,Orewa,10,Taraire Place,"10 Taraire Place, Orewa",375790,174.67547967,-36.58616172,,,Orewa,Orewa,Taraire Place,"10 Taraire Place, Orewa",174.6754796667,-36.5861617167
POINT (174.67542675 -36.5859617333),2005325,3173253,Road,,8,,,,,Orewa,Orewa,8,Taraire Place,"8 Taraire Place, Orewa",375790,174.67542675,-36.58596173,,,Orewa,Orewa,Taraire Place,"8 Taraire Place, Orewa",174.67542675,-36.5859617333
POINT (174.67415235 -36.5856491833),2005335,3173259,Road,,60,,,,,Orewa,Orewa,60,Harvest Avenue,"60 Harvest Avenue, Orewa",385341,174.67415235,-36.58564918,,,Orewa,Orewa,Harvest Avenue,"60 Harvest Avenue, Orewa",174.67415235,-36.5856491833
POINT (174.6735292 -36.5857533167),2005341,3173274,Road,,72,,,,,Orewa,Orewa,72,Harvest Avenue,"72 Harvest Avenue, Orewa",385341,174.67352920,-36.58575332,,,Orewa,Orewa,Harvest Avenue,"72 Harvest Avenue, Orewa",174.6735292,-36.5857533167
